Cell Type,Negative Sampling,Accuracy,F1 Score,AUROC,AUPRC,N Samples
CD14+ Monocyte,even,0.974293059125964,0.975,0.9867391189380719,0.9765612971939169,778
CD14+ Monocyte,random,0.9794344473007712,0.979746835443038,0.9953229943413189,0.9918423713301312,778
CD19+ B,even,0.8539426523297491,0.8422071636011617,0.943889939904734,0.942235457269751,2232
CD19+ B,random,0.8517025089605734,0.8367044893931919,0.9363198153780927,0.9360853469968664,2232
CD34+,even,0.9210526315789473,0.925,0.9874564459930314,0.9871765091277287,76
CD34+,random,0.9473684210526315,0.95,0.9940766550522648,0.9922118443592463,76
CD4+ T Helper2,even,0.5675675675675675,0.38461538461538464,0.698529411764706,0.7232770270270269,37
CD4+ T Helper2,random,0.7297297297297297,0.7368421052631579,0.738235294117647,0.7082118226600985,37
CD4+/CD25 T Reg,even,0.7736003269309358,0.7740619902120718,0.8601533796467133,0.8137067860359044,2447
CD4+/CD25 T Reg,random,0.7531671434409482,0.7479131886477463,0.8366951980618973,0.8019861499690009,2447
CD4+/CD45RA+/CD25- Naive T,even,0.7779273216689099,0.7779273216689099,0.8719029932270046,0.8375741681871534,743
CD4+/CD45RA+/CD25- Naive T,random,0.6864064602960969,0.687248322147651,0.7904959580511252,0.7577051704239742,743
CD4+/CD45RO+ Memory,even,0.7535037098103875,0.7555192150449714,0.838842851301622,0.8068208722750153,1213
CD4+/CD45RO+ Memory,random,0.7477328936521023,0.7357512953367875,0.8425937031484259,0.8140731710111009,1213
CD56+ NK,even,0.9404517453798767,0.9420165666952299,0.9793785343804143,0.9674039211511707,3409
CD56+ NK,random,0.9495453212085656,0.9508571428571428,0.9825181591059963,0.9719751388078439,3409
CD8+ Cytotoxic T,even,0.7558783700603225,0.7423001949317739,0.8412548861988525,0.8234683714845673,8123
CD8+ Cytotoxic T,random,0.7214083466699496,0.7049928301394863,0.8012389787723153,0.7774883895770557,8123
CD8+/CD45RA+ Naive Cytotoxic,even,0.7960275019098548,0.7942672214516875,0.8777160281472236,0.8330563469396152,6545
CD8+/CD45RA+ Naive Cytotoxic,random,0.8145148968678381,0.8146564885496184,0.8939203569837094,0.8498617141970871,6545
Dendritic,even,0.9139922978177151,0.9183922046285018,0.9435587282702094,0.930176894917562,779
Dendritic,random,0.9537869062901155,0.9555555555555556,0.976250908850552,0.97210996557271,779
