method,dataset,accuracy,balanced_accuracy,macro_f1,micro_f1,cross_entropy,mcc,kappa
Random Forest,train,1.0,1.0,1.0,1.0,0.22579566693005834,1.0,1.0
Random Forest,val,0.6792357460574201,0.4794786674644747,0.4927207018399509,0.6792357460574201,0.9766022342506662,0.5963801163609332,0.5855974193991662
Random Forest,test,0.6757603314135596,0.47319627972395434,0.48631769110344225,0.6757603314135596,0.9899044291000877,0.5921762013374223,0.5813594044596351
Random Forest,train,1.0,1.0,1.0,1.0,0.22566664903364672,1.0,1.0
Random Forest,val,0.6886372826526486,0.4949077474358173,0.5084005363402454,0.6886372826526486,1.0079070584279648,0.6090214339949077,0.5982198608520223
Random Forest,test,0.6777811458017581,0.48875068587422205,0.5009152858862241,0.6777811458017581,0.9983184851223017,0.5956948934990884,0.5843625753113643
Random Forest,train,1.0,1.0,1.0,1.0,0.22546127378420402,1.0,1.0
Random Forest,val,0.6843914274160938,0.48258558703214066,0.4952830154156885,0.6843914274160938,0.991592650945113,0.6038173671722284,0.5926234278703963
Random Forest,test,0.6823279781752046,0.4719737985565296,0.48370380784590383,0.6823279781752046,0.9809712044282869,0.6011470885150851,0.5901239262496296
GBDT,train,0.7104042986523378,0.6160293954949108,0.6505612061556907,0.7104042986523378,0.9734408167913011,0.6429333075291044,0.6302351003373925
GBDT,val,0.7010715729882734,0.5488310294918147,0.5707946532461943,0.7010715729882734,1.0413263480300985,0.6300018359016736,0.6179959665963699
GBDT,test,0.6991007375972517,0.5445505666651742,0.5687344029329795,0.6991007375972517,1.0298891800582282,0.6285248427885245,0.6155777754021978
GBDT,train,0.7078043073189756,0.6197258440304473,0.6489841609568594,0.7078043073189756,0.9769520203996289,0.6391912353186632,0.6264755998462372
GBDT,val,0.7060250707642539,0.5610904267985976,0.5783575759411442,0.7060250707642539,1.0197885443258876,0.6361319388736457,0.6241381313080006
GBDT,test,0.6943518237849854,0.554525921035611,0.5705226690552817,0.6943518237849854,1.0286413832570496,0.6216480685655108,0.6092132343702328
GBDT,train,0.7110326298912337,0.6171581834716263,0.6499729944821113,0.7110326298912337,0.9721579153871901,0.6437310548117862,0.6308410166962828
GBDT,val,0.7014759401536595,0.5438517099282104,0.5706912606226578,0.7014759401536595,1.006020988344319,0.6315281004976926,0.6184110101546483
GBDT,test,0.7018288370213196,0.5477956987403435,0.5732624128641778,0.7018288370213196,0.997236973625389,0.6312536306018233,0.6186981404651333
